"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000174876",23.6524797495198,1.37751444108308,0.470286872037043,2.92909397006212,0.00339951631418545,0.0290785837650121
"ENSG00000174885",42.4242117567104,0.448078724462248,0.384146239194225,1.16642746627463,0.243441658962657,0.480690235520799
"ENSG00000174886",1833.80821745276,-0.213719871486465,0.108139170176377,-1.97634096079971,0.0481161733805104,0.176265226688771
"ENSG00000174891",1427.80677763272,0.119752839371149,0.171947917100148,0.696448328021338,0.48614810637286,0.708355693141321
"ENSG00000174899",21.0015349076601,0.583149484564141,0.634101907210664,0.919646318569428,0.357757613523473,0.599078042085052
"ENSG00000174903",3878.21816640656,-0.194342921789663,0.128173622102225,-1.51624740412395,0.12945680553356,0.329844294690147
"ENSG00000174912",76.9298309323874,0.316459044988219,0.189075456845182,1.67371826184369,0.0941859830108571,0.271253905263059
"ENSG00000174915",1554.01090962529,-0.259391534081959,0.162775509812693,-1.59355381150668,0.111036006664946,0.299285933525464
"ENSG00000174917",392.639946155129,-0.085025422266027,0.120528474555723,-0.705438466548565,0.480537412658564,0.704369502800461
"ENSG00000174928",92.1490033355219,0.100182120806844,0.24432697204767,0.410032997860332,0.681781741688253,0.839629332657825
"ENSG00000174938",3162.36748854386,0.178239773928642,0.218472545559826,0.815845183072821,0.41458868746168,0.650102029747988
"ENSG00000174939",293.406997723418,-0.440906625801209,0.233254861499997,-1.89023552592157,0.0587264673405341,0.200656645080418
"ENSG00000174943",1975.16420159336,-0.0508702219984387,0.129505757549507,-0.392802783142613,0.694465148913755,0.847227537396822
"ENSG00000174944",368.260821552078,-0.0363035941752458,0.24550008910118,-0.147876093683549,0.882440555236131,0.945708402217638
"ENSG00000174945",486.419245327728,0.0886852137134014,0.148458847973094,0.597372369004736,0.550258797236732,0.753199091229897
"ENSG00000174946",235.685378881174,0.165224230552674,0.243284711641914,0.679139389555495,0.497049546646576,0.71664635127337
"ENSG00000174950",31.1006848154422,0.213905960060225,0.439618313609131,0.486571995384185,0.626561673382945,0.805528043957011
"ENSG00000174951",749.104784046803,-0.499338862440018,0.183954123532657,-2.71447496174974,0.0066380918066126,0.0469656574253583
"ENSG00000174953",5628.0244988927,-0.0303171624460671,0.143480021942068,-0.211298841718243,0.83265408669608,0.922123699675578
"ENSG00000174963",125.532472833722,-0.353999388350618,0.706210200469754,-0.50126632002079,0.616183705166847,0.798427391125228
