"","geneid","wilcox","wilcox_BH","FC","log2FC"
"15450","ENSG00000198944",0.932324373348333,1,1.12371134020619,0.168271482589799
"15451","ENSG00000198945",0.932324373348333,1,0.944551724137931,-0.0822982933885123
"15452","ENSG00000198947",0.0507985207388399,0.947097530301638,2.69114077669903,1.42821786200521
"15453","ENSG00000198948",1,1,1.29276693455798,0.370462203481365
"15454","ENSG00000198951",0.269606104568209,0.975322513573003,1.52639323156152,0.610126679172077
"15455","ENSG00000198952",0.106637057802563,0.947097530301638,1.46600047585058,0.551885571757649
"15456","ENSG00000198954",0.79890666964327,1,1.01700891931135,0.0243323318894355
"15457","ENSG00000198959",0.671125458389813,1,1.00310886289388,0.004478183651526
"15458","ENSG00000198960",0.00847480189215383,0.947097530301638,1.9373988127361,0.954120962683148
"15459","ENSG00000198961",0.671125458389813,1,1.11008817814975,0.150674279392227
"15460","ENSG00000198963",0.609758799224425,1,1.49446494464945,0.579629056418115
"15461","ENSG00000198964",0.55221422203415,0.990336329831089,0.917089678510998,-0.124865278823661
"15462","ENSG00000198976",0.350237584818994,0.975322513573003,1.52450980392157,0.608345428159107
"15463","ENSG00000199053",0.106024499279063,0.947097530301638,1.53284671532847,0.616213434705596
"15464","ENSG00000199204",0.394938073936705,0.990336329831089,0.304093567251462,-1.71741279674481
"15465","ENSG00000199218",0.350237584818994,0.975322513573003,1.35446685878963,0.437725093986739
"15466","ENSG00000199260",0.609130070083629,1,0.873949579831933,-0.194378045166851
"15467","ENSG00000199319",0.141677258723178,0.96428928564165,1.33333333333333,0.415037499278844
"15468","ENSG00000199331",0.551517708021788,0.990336329831089,0.649350649350649,-0.622930350920177
"15469","ENSG00000199436",0.733196120689158,1,1.34782608695652,0.430634354329862
"15470","ENSG00000199545",0.79890666964327,1,1.29545454545455,0.373458395527444
"15471","ENSG00000199592",0.202730170646522,0.969409484347219,0.545931758530184,-0.87320746935223
"15472","ENSG00000199598",0.441484760545034,0.990336329831089,0.73134328358209,-0.451379346342564
"15473","ENSG00000199630",1,1,0.992,-0.0115879742752118
"15474","ENSG00000199691",0.670037640509416,1,1.20869565217391,0.273451021779132
"15475","ENSG00000199719",0.864665265312348,1,1.08016877637131,0.111256751101741
"15476","ENSG00000199730",0.268767552984235,0.975322513573003,0.515723270440252,-0.955330950666272
"15477","ENSG00000199805",0.67058289447061,1,1.08675799086758,0.12003070370677
"15478","ENSG00000199806",0.305629190331281,0.975322513573003,1.58024691358025,0.660149997115375
"15479","ENSG00000199824",0.444696231849709,0.990336329831089,0.865454545454545,-0.208470045104078
