"","GeneSymbol","logFC","AveExpr","t","P.Value","adj.P.Val","B","change"
"Crot","Crot",-0.324266483753387,6.91360991149148,-1.6293010099193,0.11754064695112,0.153489912472129,-6.24545762421234,"No change"
"Lrp6","Lrp6",0.233952152846182,2.66153582975171,1.62831401348357,0.117750871630365,0.153729937734808,-6.24695254192049,"No change"
"Bscl2","Bscl2",-0.141245185685289,2.37241971484767,-1.60966267029934,0.121783156411,0.158461057290959,-6.2750683304171,"No change"
"Agpat5","Agpat5",0.143006162711803,-0.164577487559029,1.60457518308677,0.122902870251119,0.15977510408274,-6.28269314634656,"No change"
"Il1a","Il1a",-0.635865033363288,-0.898575335347812,-1.60082207744537,0.123734398306908,0.16069456169316,-6.28830586250711,"No change"
"Acacb","Acacb",-0.350875454454608,3.05595640097456,-1.59015825034911,0.12612270165578,0.163486148187062,-6.30419673101561,"No change"
"Nsmaf","Nsmaf",0.10974324045528,0.903325726299022,1.57867125998579,0.128738189210635,0.166468590625773,-6.32122000600657,"No change"
"Abcg5","Abcg5",0.301545818108957,3.78234743311538,1.57357602178747,0.129912679116351,0.167819497473386,-6.32873953682899,"No change"
"Elovl6","Elovl6",0.25016883675535,3.52856905205895,1.56061237721888,0.132941035632474,0.171389091019757,-6.34778382005332,"No change"
"Pik3r1","Pik3r1",0.221862291266666,2.66962979850073,1.55196539581613,0.134993319886595,0.173823127576068,-6.36041666484217,"No change"
"Sco1","Sco1",-0.158736388348808,1.37127496630731,-1.54666638820312,0.136263882151216,0.175304004018791,-6.36813047404642,"No change"
"Scd4","Scd4",-0.725931717239155,-1.50941294641991,-1.49344765509118,0.149578970622762,0.190893600776133,-6.44441906442865,"No change"
"Fgf1","Fgf1",0.233789236009075,4.14231435935258,1.48734677315387,0.151171106725315,0.192756410076242,-6.45302601368293,"No change"
"Akr1c18","Akr1c18",-2.63607260644548,-3.79473274161517,-1.47368238397113,0.154787183579459,0.196871164865187,-6.47219888246303,"No change"
"Opa3","Opa3",0.148518188539122,3.17424695842034,1.45798524614079,0.159027568481497,0.2017573435313,-6.49404485696427,"No change"
"Plin3","Plin3",0.180301694975927,4.01736559977364,1.44066626397265,0.163814631371115,0.207085749378561,-6.51792441820609,"No change"
"Nfkbia","Nfkbia",-0.246975753713317,3.67335518440692,-1.44000389442216,0.163999996014193,0.207275051971897,-6.51883302197162,"No change"
"Crebl2","Crebl2",-0.172676733517389,3.00704732323672,-1.39744171618248,0.176269244891738,0.221148834892199,-6.57648949833087,"No change"
"Stub1","Stub1",-0.138069715341811,4.30540843250922,-1.39587661302671,0.17673401402157,0.221684145834363,-6.57858216308079,"No change"
