"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000229025",1.01268048388455,-3.66924918328768,1.29213440970127,0.255654978451458,"ENSG00000229025",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229029",0.121019637653781,1.50531382309732,0.341490969484781,0.558969867817728,"ENSG00000229029","CDCA4P1","100420502",FALSE,FALSE,FALSE
"ENSG00000229031",0.226343214831027,-4.21929157566926,0.0196688709275197,0.888465824294221,"ENSG00000229031","MTCO1P25","107075167",FALSE,FALSE,FALSE
"ENSG00000229035",0.360155176698784,-4.28151921085679,0.085649308663875,0.769782787601995,"ENSG00000229035",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229036",0.0412361293790717,1.83676502359673,0.048331524446013,0.825992402579275,"ENSG00000229036",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229037",0.478973164340579,-4.45633101808923,2.6336785376385,0.104619075287376,"ENSG00000229037",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229042",1.23225393975439,-0.878759502352747,4.06622448649516,0.0437489554060565,"ENSG00000229042","LOC101927159","101927159",TRUE,FALSE,TRUE
"ENSG00000229043",0.0867340283550364,3.04149749248548,0.258369302844315,0.61124268529726,"ENSG00000229043","ZFAND2A-DT","101927021",FALSE,FALSE,FALSE
"ENSG00000229046",0.207082641175896,0.784069987218799,0.794458740646121,0.372755296291692,"ENSG00000229046",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229051",0.821688815558021,-3.72322666572156,0.408559089563305,0.522701762019148,"ENSG00000229051","LINC01788","101927244",FALSE,FALSE,FALSE
"ENSG00000229052",0.114738733089666,1.82459642726244,0.219579226637762,0.639360713726547,"ENSG00000229052",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229056",0.415840786159029,0.62690649984291,2.50874247491478,0.113216242821878,"ENSG00000229056","HECW2-AS1","101927482",FALSE,FALSE,FALSE
"ENSG00000229064",0.670407551709872,-2.86205314100596,5.0400139501493,0.0247682905521072,"ENSG00000229064",NA,NA,TRUE,FALSE,FALSE
"ENSG00000229065",0.00773505770963636,-0.130542810968231,0.000996276940483654,0.974819868574529,"ENSG00000229065",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229066",0.165033711693932,-3.59416013267469,0.028186166873347,0.866671891371771,"ENSG00000229066",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229067",1.30800495606902,-4.36670645754963,5.94790729199392,0.0147347684572492,"ENSG00000229067",NA,NA,TRUE,FALSE,TRUE
"ENSG00000229072",0.276710295353428,-4.37213883947102,0.0883960879050605,0.766226186554424,"ENSG00000229072",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229079",0.00852128753152863,-1.81116801676157,0.000228766389867019,0.987932435954072,"ENSG00000229079","LOC100419693","100419693",FALSE,FALSE,FALSE
"ENSG00000229080",0.000725562344484378,-4.23793788118979,1.17972529523058e-07,0.999725949563151,"ENSG00000229080","MTCO3P30","107075229",FALSE,FALSE,FALSE
"ENSG00000229081",0.351854830816438,-3.3033137117903,0.227166865377527,0.633632558989253,"ENSG00000229081",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229086",2.87739201387555,-2.34242524320171,1.9506934563735,0.162512143795989,"ENSG00000229086",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229091",0.298094754051982,-2.26907655312842,0.533919234384101,0.464963776589596,"ENSG00000229091","HSPA8P8","100287551",FALSE,FALSE,FALSE
"ENSG00000229092",1.12046579361811,-3.94326848839097,0.750534575764181,0.386307033690467,"ENSG00000229092",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229097",0.213639317590197,1.90386811101597,0.825585306085742,0.363552198084419,"ENSG00000229097",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229101",0.392471346026163,-4.3995181628483,0.0987403073263122,0.753346583348413,"ENSG00000229101",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229105",0.0554268574847781,2.09145382128396,0.036890130299156,0.847688912626524,"ENSG00000229105","ASTN2-AS1","100128505",FALSE,FALSE,FALSE
"ENSG00000229106",0.871737362683888,-1.2563271105957,3.18439327551,0.0743445916360644,"ENSG00000229106",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229107",1.34092117051478,-1.87135401831443,3.49982368132534,0.0613753632070508,"ENSG00000229107",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229108",0.0470156241386472,0.791028659385415,0.0050810914880941,0.943173499542927,"ENSG00000229108","LINC02587","101927524",FALSE,FALSE,FALSE
"ENSG00000229109",0.654924374057166,2.09162255549906,5.51868470393332,0.0188143997720404,"ENSG00000229109",NA,NA,TRUE,FALSE,FALSE
"ENSG00000229110",0.356594971376112,-1.45255936170691,0.774875550781189,0.378712974900263,"ENSG00000229110","LOC100421387","100421387",FALSE,FALSE,FALSE
"ENSG00000229115",0.245064178697641,-1.79685008172549,0.648282443210164,0.42072742100667,"ENSG00000229115",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229116",0.174684159167696,-3.23166871236775,0.0415211959443837,0.838535187586156,"ENSG00000229116",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229120",0.0548036279844492,-1.33917468682225,0.0426226411350399,0.836437452866526,"ENSG00000229120",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229124",0.930937505266562,0.933143496009132,5.77369000251075,0.016267841361595,"ENSG00000229124","VIM-AS1","100507347",TRUE,FALSE,FALSE
"ENSG00000229129",1.93959580453708,-4.05067307414929,2.29253218851797,0.129997683512937,"ENSG00000229129",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229131",0.0400909101346111,-3.113443398492,0.000271439798041229,0.986855103342298,"ENSG00000229131",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229145",0.017522620626902,-3.98398029846015,0.000169000921406592,0.989627764587311,"ENSG00000229145","ACTBP1","643309",FALSE,FALSE,FALSE
"ENSG00000229146",0.536992939753474,0.988230539307574,2.24683096902915,0.133888346138181,"ENSG00000229146",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229147",2.85280301842234,-3.92704640591386,1.17876823572009,0.277606900985141,"ENSG00000229147","SMPD4P2","441654",FALSE,FALSE,FALSE
"ENSG00000229150",1.15961440094972,-3.87622205901816,0.582612860249444,0.445289981744637,"ENSG00000229150",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229151",1.99270174563535,-1.99290998061916,6.17837497811337,0.0129320993070155,"ENSG00000229151",NA,NA,TRUE,FALSE,TRUE
"ENSG00000229152",0.0728347017794654,4.80354159963292,0.095432607525737,0.757381100753881,"ENSG00000229152",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229153",0.359516522120108,-0.725288639097304,1.41938902319228,0.233503993026069,"ENSG00000229153","EPHA1-AS1","285965",FALSE,FALSE,FALSE
"ENSG00000229154",0.142857924478578,0.812641211712829,0.135025369319465,0.713277427629453,"ENSG00000229154","KCNQ5-AS1","100873997",FALSE,FALSE,FALSE
"ENSG00000229159",0.0422752343611046,-4.37816397161585,0.00162510556385698,0.96784391012969,"ENSG00000229159","TSPY23P","100286964",FALSE,FALSE,FALSE
"ENSG00000229162",0.150547675096929,-0.772463729077411,0.1551981003538,0.693616550860731,"ENSG00000229162",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229163",1.21322886772113,-2.21771041487829,4.05930246260607,0.0439286416678357,"ENSG00000229163",NA,NA,TRUE,FALSE,TRUE
"ENSG00000229167",0.0220956230134669,-1.64406683949744,0.00145437153163641,0.969579070246948,"ENSG00000229167",NA,NA,FALSE,FALSE,FALSE
"ENSG00000229168",1.19705713053927,-4.20463616861436,1.05987933645901,0.303242707117573,"ENSG00000229168","RPL19P20","392451",FALSE,FALSE,FALSE
