"","log2fc","logCPM","LR","pvalue","ENSEMBL","SYMBOL","ENTREZID","is_sig","is_lipid","is_use"
"ENSG00000242736",-0.362030519973502,-4.10717619283902,0.227874211958273,0.633104567749634,"ENSG00000242736",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242737",-0.0427035414823209,0.226932720120311,0.0744683153784962,0.784938670542932,"ENSG00000242737",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242753",-0.222810691319699,-2.05621672967447,0.0670051810745491,0.795748207721095,"ENSG00000242753",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242756",-0.0809891841536649,-1.53952765549361,0.0636085786559022,0.80088074929563,"ENSG00000242756",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242768",-0.802315908180071,-2.18427405831348,1.02169243533368,0.312117894867195,"ENSG00000242768","RPL31P25","100270987",FALSE,FALSE,FALSE
"ENSG00000242769",-0.634454200049047,-4.37199258739404,0.364846310363523,0.545826960745568,"ENSG00000242769","RN7SL432P","106481041",FALSE,FALSE,FALSE
"ENSG00000242771",-1.22300254515818,-3.54800251159136,1.21324371658183,0.270690662310999,"ENSG00000242771",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242779",-0.481745777262716,2.02379456170606,2.4596766405498,0.116802825467122,"ENSG00000242779",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242790",-0.552067195025496,-3.87174160267458,0.360189206524076,0.548401173824766,"ENSG00000242790",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242791",-0.0965649373355036,-0.179878327879139,0.117261131385106,0.732024209458466,"ENSG00000242791",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242794",-0.423677314082433,-4.46448922969866,2.97117885569054,0.0847600678326841,"ENSG00000242794","RN7SL299P","106479331",FALSE,FALSE,FALSE
"ENSG00000242802",-0.0183026778135748,5.84477555285432,0.0162294005473314,0.898628038933666,"ENSG00000242802","AP5Z1","9907",FALSE,FALSE,FALSE
"ENSG00000242807",-0.532940347279329,-1.50174634840399,1.28113153414922,0.257688751650662,"ENSG00000242807","RPL26P31","100271469",FALSE,FALSE,FALSE
"ENSG00000242810",-0.466707381924231,-2.26781686083777,0.652976602551846,0.419050472538432,"ENSG00000242810","MRPL42P6","106480794",FALSE,FALSE,FALSE
"ENSG00000242814",-0.178231538803142,-4.25807166372007,0.0197397451706678,0.888266371857004,"ENSG00000242814",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242818",-0.122173669063071,-1.60607818873592,0.279987149288417,0.596709639662967,"ENSG00000242818","RN7SL846P","106479530",FALSE,FALSE,FALSE
"ENSG00000242834",-0.965072730006053,-4.44090105062505,2.65827078689512,0.103012669144941,"ENSG00000242834","RPL7AP56","100271536",FALSE,FALSE,FALSE
"ENSG00000242837",-1.01529181614119,-4.11597051789581,0.555667007842576,0.456011358394295,"ENSG00000242837","RPL21P13","319144",FALSE,FALSE,FALSE
"ENSG00000242841",-0.580901455921123,-2.4723295073175,1.01975651791781,0.312576770739633,"ENSG00000242841","KRT8P35","100418747",FALSE,FALSE,FALSE
"ENSG00000242849",-0.316215853618078,-4.28778598702328,0.0403770163691348,0.840745231737384,"ENSG00000242849",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242853",-0.461997913972069,-0.91804579221231,1.80734363831041,0.178827214242611,"ENSG00000242853","RN7SL749P","106479494",FALSE,FALSE,FALSE
"ENSG00000242854",-0.598980017577651,-4.44158514709675,1.39038719669099,0.238339722271711,"ENSG00000242854",NA,NA,FALSE,FALSE,FALSE
"ENSG00000242861",-0.089348857015531,-0.0790192159559157,0.124643031588974,0.724052305727952,"ENSG00000242861",NA,NA,FALSE,FALSE,FALSE
