,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,is_use
ENSG00000099769,224.55171971645893,0.47229614635525063,0.21909621226013123,2.1556563734406193,0.03111050712196891,0.11263553682160629,False
ENSG00000099783,7767.804040151755,0.17058153962192138,0.07979410069522765,2.137771315619622,0.03253530815708851,0.11596776250985111,False
ENSG00000099785,613.4095430412258,-0.003250036686543948,0.17923720073031824,-0.0181326012306674,0.9855330702018001,0.9931176099999394,False
ENSG00000099795,1202.8745229323454,0.34521337932602236,0.15548905440914673,2.2201780095571473,0.02640668644141324,0.10008847855523764,False
ENSG00000099797,2333.6701128444843,0.10152191901189583,0.07353678262126473,1.380559706218893,0.1674143797489186,0.34284743890169894,False
ENSG00000099800,1009.7751517758649,0.27538858943403366,0.10992711960812196,2.505192444009846,0.012238478400143757,0.05898021343079589,False
ENSG00000099804,1974.3409190090701,0.5522981461452924,0.15118571903253097,3.6531105562057293,0.00025908261337484906,0.003749612559307413,False
ENSG00000099810,3462.909071570377,0.018753405374758083,0.1281489478620591,0.14634068939016534,0.8836524461051072,0.9398070001262181,False
ENSG00000099812,876.8508396148787,-0.010965067619342527,0.22528360482406104,-0.048672284110092605,0.9611804637645543,0.9811547711783754,False
ENSG00000099814,4395.79579498865,0.08697472738263834,0.18124608379171553,0.4798709332808978,0.6313191707090442,0.7793336604923758,False
ENSG00000099817,2320.4047418937253,0.2959800531212284,0.10975575691452602,2.696715520368808,0.007002706609068704,0.04001057546774476,False
ENSG00000099821,3255.2388844365037,0.40811628613476075,0.17561142822179146,2.32397338981449,0.020126920286674677,0.08328198738212021,False
ENSG00000099822,610.8839730090058,0.532814276052006,0.2947292479600377,1.8078093020623809,0.0706361855177399,0.19380389467493306,False
ENSG00000099834,547.5856945729917,0.2960398355315387,0.18490227500662915,1.6010610768359934,0.10936339208798496,0.25922626732728826,False
ENSG00000099840,317.3730716582115,0.479947007126694,0.1834342013999052,2.6164532211763536,0.008884853769289807,0.04716169162018178,False
ENSG00000099849,1226.362785096782,0.4046778999813914,0.1890960178922278,2.140065689865722,0.0323494583838769,0.11564333529836596,False
ENSG00000099860,496.41944575871713,-0.4893348056801732,0.19653115744838393,-2.489858666856373,0.012779390257250453,0.060793137370312195,False
ENSG00000099864,2040.9741486036105,0.9627113506192388,0.26378226860749626,3.649643911629776,0.0002626040864686081,0.0037915485502693818,False
ENSG00000099866,53.373766813967805,0.34180560486912015,0.16060999862756947,2.1281713952424353,0.03332287556090954,0.11798030973647952,False
ENSG00000099875,4469.589736778194,0.11336217409433194,0.17046961849040224,0.6649992831462485,0.5060509515787168,0.6843313769769949,False
ENSG00000099889,3331.959770483878,0.814907033200005,0.16918799297636827,4.816577221965327,1.4604166189554127e-06,8.48174268920047e-05,False
ENSG00000099899,1881.1319910869279,0.376813446925848,0.13073499792788948,2.8822691161374396,0.003948223662729064,0.02673150211865595,False
ENSG00000099901,2773.1754083287556,0.4693717599956149,0.09921503641362313,4.730853073911344,2.2357830037357266e-06,0.00011464212374548384,False
ENSG00000099904,1890.43776115971,0.49320304258425535,0.1483604083117606,3.3243575438795756,0.0008862249689951902,0.009226740137482217,False
ENSG00000099910,1803.3775500347247,0.38312588937517794,0.10563319019849086,3.6269461203932427,0.0002867931085582484,0.004040167307303742,False
ENSG00000099917,3430.5180181299233,0.01182167330064634,0.11947039021091674,0.09895065446572988,0.9211774497700745,0.9589572471941153,False
ENSG00000099937,337.1236564209899,0.39566379335703983,0.17106451339913417,2.312950742939081,0.020725347475947776,0.08488676197508517,False
ENSG00000099940,1052.3807283277608,0.08190174013346693,0.10855777776873855,0.7544529909956597,0.45057726253543895,0.6373066595861822,False
ENSG00000099942,5627.492113203243,0.3861900539823914,0.09291262899181092,4.156486132971539,3.231797781700058e-05,0.0008400877125219947,False
ENSG00000099949,3015.3230323282346,0.3145330398299205,0.12609680994827438,2.4943774545838524,0.012617828753020997,0.060300708956335485,False
ENSG00000099953,2000.2874738578637,-0.007831040675953633,0.2568784658035913,-0.030485391803691437,0.9756799436191487,0.987794941475234,False
ENSG00000099954,3893.8483781707023,0.42787857361724907,0.21176212916552753,2.0205622946055213,0.04332509543095878,0.1400894692545718,False
ENSG00000099956,5988.344267079048,0.3257320593789083,0.08449177621425887,3.8551924692990136,0.00011563861482164236,0.0020645651613732815,False
ENSG00000099957,169.7645808035135,0.48747530069716494,0.18815176645354767,2.590862206002815,0.009573581609809072,0.049633977262832696,False
ENSG00000099958,481.037500891424,-1.0403838546208721,0.27543424069849193,-3.7772495241785986,0.00015856984601464599,0.002605042457389499,True
ENSG00000099960,252.30804154290604,0.6960017064566337,0.27728078417999585,2.5100971512141523,0.01206979502979418,0.05841380797737707,False
ENSG00000099968,2309.1573531477334,0.26666101541505693,0.10779704607421271,2.4737321209291263,0.013370991228441187,0.06265111292604718,False
ENSG00000099974,577.370254943931,0.10592498452754885,0.18714558593614586,0.566003114621632,0.5713916632258738,0.7353243115466532,False
ENSG00000099977,738.309295714379,0.2491107510810935,0.09880335428378338,2.5212782793344912,0.01169293391984859,0.0569974644740899,False
ENSG00000099984,74.99062559521272,0.17281065984352809,0.20873200568479075,0.8279068620865551,0.40772324845831265,0.600810217125079,False
ENSG00000099985,41.89791938188189,-1.2008053012918458,0.3618966718768848,-3.3180888209448716,0.0009063565805025607,0.009370526330786156,True
ENSG00000099991,7520.137159680895,0.2650354714259269,0.1317201151576214,2.012110839022386,0.044208254348964436,0.1421964584839168,False
ENSG00000099992,822.0398896569973,-0.12764552444260668,0.1587444184062073,-0.8040945673817496,0.4213423618297828,0.6125122092153906,False
ENSG00000099994,1326.9444053503141,-0.005829555575132439,0.3315712924001991,-0.017581605249758162,0.9859726312941139,0.9932252979778469,False
ENSG00000099995,5175.531593001564,0.12366338516529359,0.06237863961392755,1.9824636434950837,0.047427372592793116,0.1490468287375531,False
ENSG00000099998,893.2512986287358,-0.5146099810263095,0.27220344022185355,-1.8905344495532008,0.05868651772357426,0.17112376017369899,False
ENSG00000099999,1192.3143495124352,0.1759332009067618,0.14056916635108122,1.251577465198566,0.21072387017677874,0.3976039765030804,False
ENSG00000100003,880.7305005718927,-0.006556471194711858,0.09675858083333655,-0.0677611343432699,0.9459757829193655,0.972657207161857,False
ENSG00000100014,5258.833561676677,0.3001483935479795,0.06880549095591657,4.362273844398312,1.2871761451774752e-05,0.00043473480700340566,False
ENSG00000100023,3664.207273249904,0.20714758137724268,0.0790406987227141,2.6207711308821495,0.008773113737005017,0.04675437850950346,False
ENSG00000100024,78.26407092028424,-0.019646407226100702,0.217935153511952,-0.09014794955979075,0.9281696460654799,0.9627801323053802,False
ENSG00000100027,2080.5775601471078,0.7036029454997259,0.1606585820877107,4.379491816475746,1.1895638849189013e-05,0.00040938512692276495,False
ENSG00000100028,3042.9378731718266,0.31746515767414396,0.07390897523623084,4.295353259322688,1.744153757178528e-05,0.0005393608002353181,False
ENSG00000100029,2286.8650794097157,0.2699188480435433,0.13381324508101733,2.0171310237646565,0.0436818418500216,0.1409234299757771,False
ENSG00000100030,6701.305028512637,0.08185198664777522,0.09218538010194066,0.887906374712145,0.3745911154172028,0.5700656191166077,False
ENSG00000100031,272.253766067748,-0.43896574735263605,0.2337398578549967,-1.8780098156171279,0.06037982232042676,0.17428560836094778,False
ENSG00000100033,1496.8179564513428,0.2634095707374131,0.27961207616353434,0.9420536278388597,0.34616518432293053,0.5428402711556276,False
ENSG00000100034,1699.2833904496486,0.021597480567710697,0.1702341149087107,0.12686928574388573,0.8990438565912432,0.9473788214175598,False
ENSG00000100036,198.36878269140644,0.507520406159742,0.16354557459818042,3.1032353361237854,0.0019141735989405657,0.015946884159944028,False
ENSG00000100038,649.022580278774,0.6064588221204674,0.15248989065016913,3.9770428028685507,6.97776087629421e-05,0.0014617645083615128,False
ENSG00000100053,22.71167160233363,-0.5203951772173987,0.23664124911692508,-2.199089039461037,0.02787159173459901,0.10389984117118993,False
ENSG00000100055,795.0872194656969,-0.6828445638767655,0.24701077751372752,-2.764432267894937,0.005702194401812899,0.03449108229071558,False
ENSG00000100056,1119.440937814725,0.5629248786607596,0.1269798769534984,4.433181793575919,9.285250920694182e-06,0.0003417752202409848,False
ENSG00000100058,1300.199228938374,0.3403409751911216,0.10597789392128262,3.2114336546819593,0.0013207446342501736,0.012267263600070431,False
ENSG00000100060,507.60776232629354,0.14490422521154794,0.24069777548377094,0.602017301241399,0.5471626209082245,0.71672572785173,False
ENSG00000100065,643.6156137698297,-0.2781514022452061,0.23011821751253,-1.2087326472970819,0.2267655747962316,0.416307218407728,False
ENSG00000100068,624.3704524919787,0.1809099501001557,0.20330149380151166,0.8898604074044956,0.37354084564509915,0.5692510137378325,False
ENSG00000100075,1411.943345831464,0.12897472893477044,0.15906978067744323,0.8108059770089292,0.4174771015186839,0.6089447055695068,False
ENSG00000100077,1897.3431311248394,-0.2920534810850116,0.14601026919731394,-2.000225618996286,0.04547590661709683,0.14476316295498035,False
ENSG00000100078,112.41950810679774,-0.03479150612446945,0.3162906527775943,-0.10999852767996197,0.9124105425711582,0.9543291653503819,False
ENSG00000100079,47.64221094054672,-1.2466313103740718,0.3109214962980157,-4.009472890157411,6.085443880388691e-05,0.0013313925893692824,True
