,log2foldchange,pval,qval,gene_symbol,is_significant
35809,-0.619903312,0.013767116,0.084936608,NA,FALSE
35810,-0.81899305,0.038937429,0.165344961,NA,FALSE
35811,0.165393037,0.520837031,0.74488016,NA,FALSE
35812,-0.640571777,0.155376194,0.385110845,LOC105375216,FALSE
35813,0.160787409,0.552381897,0.765866468,NA,FALSE
35814,0.631854053,0.188533507,0.429863452,NA,FALSE
35815,-1.042804434,0.02115332,0.112715298,NA,FALSE
35816,0.309555432,0.466773786,0.704788693,NA,FALSE
35817,-0.608334012,0.209197485,0.456507018,NA,FALSE
35818,-0.010473832,0.948242817,0.978329618,NA,FALSE
35819,0.034660002,0.953775273,0.980621398,NA,FALSE
35820,-0.177753228,0.47943165,0.714426851,NA,FALSE
35821,-0.591620627,0.224541058,0.474625594,NA,FALSE
35822,-0.013751734,0.927565258,0.970018527,NA,FALSE
35823,0.327789445,0.336487533,0.59562997,NA,FALSE
35825,-0.555270468,0.026093998,0.128757867,NA,FALSE
35826,-0.417958428,0.03222543,0.147097196,NA,FALSE
35827,-0.411913077,0.285721385,0.543840793,NA,FALSE
35828,-0.203379546,0.365189718,0.621962675,NA,FALSE
35829,-0.901896579,0.061856048,0.220757415,NA,FALSE
35830,-0.302643342,0.490236078,0.722640907,NA,FALSE
35832,0.127972231,0.605311008,0.801256263,NA,FALSE
35833,-0.445440473,0.008769902,0.063121536,NA,FALSE
35834,-0.464448692,0.26716428,0.524132435,NA,FALSE
35835,-0.392267442,0.346307274,0.604796663,NA,FALSE
35836,0.909471873,0.077350846,0.253756041,NA,FALSE
35837,-0.466201974,0.410556699,0.661557041,NA,FALSE
35838,-0.723228654,0.109523166,0.313392484,NA,FALSE
35840,1.085183179,0.055166057,0.206790915,NA,FALSE
35841,0.010546578,0.968065097,0.986644543,NA,FALSE
35842,0.224984212,0.613497314,0.806513169,NA,FALSE
35843,-0.296808148,0.135266864,0.355392754,NA,FALSE
35844,-0.442884628,0.39126399,0.644564481,NA,FALSE
35845,1.050840132,0.015758011,0.093028515,NA,FALSE
35846,0.003556644,0.986283149,0.994555465,NA,FALSE
35847,0.972688601,0.034931097,0.154320884,NA,FALSE
35848,0.309488873,0.097624651,0.291891638,NA,FALSE
35849,0.506308949,0.104377689,0.304315585,NA,FALSE
35851,0.17717289,0.374754649,0.630428305,NA,FALSE
35852,1.060919534,0.078272502,0.255869118,NA,FALSE
35853,-0.373733179,0.410750714,0.661805835,LOC105375423,FALSE
35854,0.589232682,0.182284078,0.42153121,NA,FALSE
35855,0.559890436,0.084027386,0.26594362,NA,FALSE
35856,-0.072656516,0.854513224,0.936439388,NA,FALSE
35857,-0.299725992,0.124844234,0.338672302,NA,FALSE
35858,0.069220874,0.876155639,0.946872408,NA,FALSE
35860,0.550268058,0.162097016,0.394693462,NA,FALSE
35861,-0.732133518,0.075034839,0.249135087,NA,FALSE
35862,-0.199173453,0.659489373,0.83452165,NA,FALSE
35863,-0.075064873,0.87492558,0.946177141,NA,FALSE
35864,1.008868042,0.006716556,0.052803489,MICB-DT,FALSE
35865,-0.212494444,0.460576314,0.699531225,NA,FALSE
35866,-0.394124381,0.417939182,0.667515234,NA,FALSE
35867,0.102299248,0.515345507,0.741112058,NA,FALSE
35868,-0.220786452,0.668974036,0.840300022,NA,FALSE
35869,-0.996351223,0.010513702,0.071230954,NA,FALSE
35870,0.780319762,0.035359791,0.155407049,NA,FALSE
35871,-0.380157526,0.417588672,0.667362824,NA,FALSE
35872,0.886113475,0.062634194,0.222816543,NA,FALSE
35873,0.504526582,0.152566506,0.381093031,NA,FALSE
35874,0.02104215,0.96467066,0.985299346,NA,FALSE
35875,-0.479244235,0.329102582,0.588673726,NA,FALSE
35876,0.856018256,0.040410517,0.169124469,NA,FALSE
35877,-1.007915268,0.054547994,0.205300652,NA,FALSE
35878,-0.990760805,0.107976041,0.310476827,NA,FALSE
35879,-0.404318986,0.22559266,0.475967566,NA,FALSE
35880,-0.040760271,0.876271708,0.946872408,NA,FALSE
35881,0.029729511,0.86986718,0.943994049,NA,FALSE
35882,0.109847981,0.571107152,0.778306249,NA,FALSE
35883,-0.346997017,0.202609056,0.448498479,NA,FALSE
35884,0.181551203,0.768929406,0.894555697,NA,FALSE
35885,0.611859365,0.008791363,0.063223362,NA,FALSE
35886,-0.925682808,0.036886127,0.159790334,NA,FALSE
35887,-0.234868403,0.263916646,0.520257262,LOC105378429,FALSE
35888,-0.404565519,0.29539108,0.553483472,NA,FALSE
35889,0.422211094,0.467240748,0.705115078,NA,FALSE
35890,-0.59116091,0.117106212,0.325784984,NA,FALSE
35891,-0.454222042,0.034641916,0.153563055,NA,FALSE
35892,0.194424878,0.682627782,0.848503542,NA,FALSE
35894,-0.224282069,0.26439491,0.52096445,NA,FALSE
35895,0.190517448,0.645386141,0.82618671,NA,FALSE
35896,0.037807939,0.850056546,0.934109911,NA,FALSE
35897,0.655684239,0.2490132,0.504248627,NA,FALSE
35898,-0.142615849,0.759924538,0.889784752,NA,FALSE
35899,0.517460423,0.026683885,0.130575619,NA,FALSE
35900,-0.258610142,0.177919272,0.415473804,NA,FALSE
35901,-0.079292288,0.795566599,0.908840373,NA,FALSE
35902,0.049429099,0.796737415,0.909289184,NA,FALSE
35903,0.007166972,0.972867407,0.988774808,NA,FALSE
35904,-0.505773492,0.308332501,0.566976525,NA,FALSE
35905,0.07018828,0.885991521,0.950976336,NA,FALSE
35906,-0.227487124,0.655763412,0.8324649,NA,FALSE
35907,-0.306361434,0.325705657,0.585318913,NA,FALSE
35908,0.025010729,0.957586405,0.982072698,LOC105373334,FALSE
35909,0.4042992,0.257695521,0.514082943,NA,FALSE
35910,-0.794287133,0.019217224,0.105986166,NA,FALSE
35911,-0.484411723,0.169757423,0.404615034,NA,FALSE
35912,-0.018568398,0.939086509,0.974549897,NA,FALSE
35913,0.06494723,0.811751493,0.916563185,NA,FALSE
35914,-0.576338225,0.141525142,0.364415049,NA,FALSE
35915,0.105743758,0.851990573,0.935061061,NA,FALSE
35916,0.287958605,0.523087299,0.74642536,NA,FALSE
35917,-0.349136179,0.321158247,0.58045756,NA,FALSE
35918,-0.843933422,0.014014537,0.085899262,NA,FALSE
35919,-0.716136592,0.133722273,0.352525633,NA,FALSE
35920,0.255115388,0.318296274,0.577675941,NA,FALSE
35921,-0.341209452,0.17404811,0.409976284,NA,FALSE
35922,1.10938423,0.044138504,0.178868852,NA,FALSE
35923,-0.35267918,0.487804362,0.720979978,NA,FALSE
35924,-0.204927377,0.24318877,0.497721265,NA,FALSE
35925,-0.596330222,0.085602419,0.26871159,NA,FALSE
35926,-0.217470688,0.354645537,0.611960707,NA,FALSE
35927,0.529835515,0.251333792,0.506748887,NA,FALSE
35928,0.11344661,0.816935823,0.919103539,NA,FALSE
35929,-0.6638774,0.256716763,0.51275017,NA,FALSE
35930,-0.376620725,0.123515291,0.336374508,NA,FALSE
35931,-0.431692599,0.14877069,0.375279175,NA,FALSE
35933,0.065439353,0.90564485,0.960072327,NA,FALSE
35934,-0.095767148,0.830974834,0.925841337,NA,FALSE
35935,0.811523334,0.099838363,0.296109258,NA,FALSE
35936,-0.760042122,0.011564356,0.075787277,NA,FALSE
35937,-0.019015234,0.947972573,0.978216482,NA,FALSE
35938,0.482964528,0.194618623,0.437784099,NA,FALSE
35939,0.4742659,0.084107784,0.266105902,NA,FALSE
35940,-0.168763659,0.456054591,0.69613751,NA,FALSE
35941,-0.626781417,0.027830006,0.134101369,NA,FALSE
35942,-0.655291227,0.113670165,0.320112063,H3C3,FALSE
35944,0.088701878,0.853433975,0.935792158,LOC101928398,FALSE
35945,0.145597106,0.467641746,0.705341622,NA,FALSE
35946,0.024193031,0.931688853,0.971950789,NA,FALSE
35947,-0.603073899,0.22644051,0.477150429,NA,FALSE
35948,0.314109473,0.511675032,0.738897461,NA,FALSE
35949,-0.376778831,0.491209498,0.723355347,LOC340090,FALSE
35950,0.409458685,0.172684949,0.408349604,NA,FALSE
35951,-0.81225011,0.153420865,0.3822904,NA,FALSE
35952,0.18557063,0.653612416,0.83123561,NA,FALSE
35953,-0.151127573,0.490482553,0.722750979,NA,FALSE
35954,1.033053427,0.025038062,0.125676274,NA,FALSE
35955,-1.091352421,0.041761075,0.172719873,NA,FALSE
35956,0.925190621,0.052666552,0.200553222,LOC107986639,FALSE
35957,-0.298077761,0.129504047,0.346024024,NA,FALSE
35958,1.073454866,0.007775229,0.058305092,NA,FALSE
35959,0.010456761,0.95793628,0.982144078,NA,FALSE
35960,-1.491670483,0.017571709,0.099988854,NA,FALSE
35961,-0.041973249,0.854553146,0.936439388,NA,FALSE
35962,-0.906657381,0.017914928,0.101104186,NA,FALSE
35963,-0.459794467,0.073825064,0.246348713,NA,FALSE
35964,0.873972345,0.177565147,0.415056827,NA,FALSE
35965,-0.006206704,0.983642486,0.993592274,NA,FALSE
35966,0.024729323,0.931648926,0.971936878,NA,FALSE
35967,-0.440823686,0.365866011,0.622580157,NA,FALSE
35968,0.295024092,0.225667585,0.476098163,NA,FALSE
35969,0.734735382,0.057509907,0.211568153,NA,FALSE
35970,-0.390825165,0.072891445,0.244361577,NA,FALSE
35971,-0.179277413,0.683772499,0.849058948,NA,FALSE
35972,0.215855866,0.330074748,0.589460665,NA,FALSE
35973,-0.709226678,0.103146746,0.301737669,NA,FALSE
35974,0.608427585,0.036904711,0.159832951,NA,FALSE
35975,0.325243666,0.13810377,0.35943564,NA,FALSE
35976,-0.349910749,0.360175585,0.617173691,NA,FALSE
35977,0.533492263,0.218265393,0.467662202,NA,FALSE
35978,0.423152474,0.391929399,0.645089567,NA,FALSE
35979,-0.295827137,0.3599173,0.616950829,NA,FALSE
35981,-0.100471276,0.821979269,0.921317524,NA,FALSE
35982,0.537899537,0.019049507,0.105459014,C2orf27A,FALSE
35983,-0.512868086,0.303791973,0.562220508,NA,FALSE
35985,0.142639589,0.530793393,0.751383389,NA,FALSE
35986,0.271555502,0.624374529,0.813121848,NA,FALSE
35987,-0.636274225,0.033069571,0.149217251,NA,FALSE
35988,0.549103725,0.309764337,0.568523488,NA,FALSE
35989,-0.294087019,0.072876376,0.244345492,NA,FALSE
35990,-1.168743346,0.027432607,0.132728932,NA,FALSE
35991,-0.453567089,0.057259912,0.211204828,NA,FALSE
35992,-0.484226152,0.257671974,0.514064027,NA,FALSE
35993,-0.980456116,0.013835015,0.085098611,NA,FALSE
35994,0.270270569,0.407100009,0.65895032,NA,FALSE
35995,-0.478675961,0.153548383,0.382473921,NA,FALSE
35996,0.303174095,0.308856416,0.567525507,NA,FALSE
35997,0.010607261,0.954092281,0.980737956,NA,FALSE
35998,-0.295523739,0.529341358,0.750594057,NA,FALSE
35999,-0.24107627,0.426102031,0.672909052,NA,FALSE
36000,-0.430588544,0.341769401,0.600723174,NA,FALSE
36002,0.012382161,0.973857785,0.988971827,NA,FALSE
36003,0.336572635,0.380905415,0.635404473,NA,FALSE
36004,-0.309227678,0.306489755,0.565217449,NA,FALSE
36005,-0.08252504,0.852545703,0.935305205,NA,FALSE
36006,-0.288873824,0.417054533,0.666969726,NA,FALSE
36007,0.373941747,0.058308109,0.213397387,NA,FALSE
36008,-0.810200876,0.01624976,0.094889357,NA,FALSE
36009,-0.509167822,0.289529748,0.547358401,NA,FALSE
36010,0.165445933,0.485560618,0.719424154,NA,FALSE
36011,-0.115975224,0.617798379,0.809445196,NA,FALSE
36012,0.530474674,0.256811914,0.512852073,NA,FALSE
36013,-0.46880747,0.40707235,0.65895032,NA,FALSE
36014,0.182581526,0.217140793,0.466017548,NA,FALSE
36016,0.458917424,0.170219755,0.405150811,NA,FALSE
36018,-0.813831202,0.038214572,0.16351771,NA,FALSE
36019,-0.403894936,0.196112921,0.439738107,NA,FALSE
36020,0.232082201,0.590672138,0.791985671,NA,FALSE
36021,-0.379294595,0.0134901,0.083652809,NA,FALSE
36022,-0.623934119,0.206919283,0.453970398,NA,FALSE
36023,0.029053437,0.881115487,0.948909881,NA,FALSE
36024,0.470500268,0.380793493,0.635306527,NA,FALSE
36025,-0.364736725,0.400413843,0.652316718,NA,FALSE
36026,-0.267261159,0.553726579,0.766945307,NA,FALSE
36027,0.20810027,0.3916978,0.644822466,NA,FALSE
36028,0.211883337,0.604286582,0.800713131,NA,FALSE
36029,-0.11576224,0.799983924,0.910786445,NA,FALSE
36030,0.215723422,0.270435215,0.527716855,NA,FALSE
36031,0.521076933,0.294160852,0.552314945,THCAT155,FALSE
36033,0.049917986,0.911190697,0.962726629,NA,FALSE
36034,-0.206993225,0.777548851,0.898868705,NA,FALSE
36035,-0.113424955,0.751798883,0.885614471,NA,FALSE
36036,-0.156145163,0.712253212,0.865439272,NA,FALSE
36037,-0.23465541,0.659376598,0.834472135,NA,FALSE
36038,1.063470708,0.016671495,0.096305747,NA,FALSE
36039,0.310882679,0.183187965,0.422792178,NA,FALSE
36040,0.07132348,0.803463427,0.912291404,NA,FALSE
36041,-0.317020442,0.524516507,0.747214895,LOC101928868,FALSE
36042,0.171387147,0.665008284,0.837560758,LOC101927278,FALSE
36043,0.104412012,0.561758407,0.771781679,NA,FALSE
36044,0.600664197,0.040600094,0.169665313,FLJ32255,FALSE
36045,0.548941231,0.194384576,0.437446085,NA,FALSE
36046,0.211008097,0.408630389,0.660287019,NA,FALSE
36047,-0.594749342,0.298643688,0.556896364,NA,FALSE
36048,0.861698489,0.035162938,0.154765201,NA,FALSE
36049,0.227899936,0.235208294,0.488306047,NA,FALSE
36050,1.170239288,0.017048202,0.097832427,NA,FALSE
36051,0.190281326,0.751995751,0.88569922,NA,FALSE
36053,-1.252567456,0.013414559,0.083368258,NA,FALSE
36054,-0.53691044,0.27923124,0.537449186,NA,FALSE
36055,0.537136636,0.031197491,0.144078482,NA,FALSE
36057,-0.729363024,0.147515691,0.37363747,NA,FALSE
36058,0.414457124,0.414647739,0.664995079,LOC107985177,FALSE
36059,-0.778976531,0.180834654,0.419559814,NA,FALSE
36060,0.642311642,0.11710753,0.325784984,NA,FALSE
36061,0.539242367,0.161101093,0.393325574,NA,FALSE
36062,-0.228119432,0.251774904,0.507311372,NA,FALSE
36063,-0.568045978,0.351465111,0.609331184,NA,FALSE
36064,-0.138572798,0.663192688,0.836723033,NA,FALSE
36065,0.979211637,0.050074877,0.19397845,NA,FALSE
36066,0.270075524,0.207255561,0.454215172,LOC101927741,FALSE
36067,-0.806122305,0.049903406,0.193642594,NA,FALSE
36068,-0.310764469,0.420845732,0.669546452,NA,FALSE
36069,0.337199137,0.232100692,0.484050749,NA,FALSE
36070,-0.668351937,0.155972797,0.385875705,NA,FALSE
36071,0.468964379,0.220771977,0.47045526,NA,FALSE
36072,-0.19151573,0.52376147,0.746819694,NA,FALSE
36073,-0.00288407,0.994720678,0.997747875,NA,FALSE
