"","GeneID","Cluster"
"351","ENSG00000214940","cluster1"
"352","ENSG00000152128","cluster1"
"353","ENSG00000230202","cluster1"
"354","ENSG00000228223","cluster1"
"355","ENSG00000134864","cluster1"
"356","ENSG00000179761","cluster1"
"357","ENSG00000151364","cluster1"
"358","ENSG00000184305","cluster1"
"359","ENSG00000206384","cluster1"
"360","ENSG00000154175","cluster1"
"361","ENSG00000248592","cluster1"
"362","ENSG00000120675","cluster1"
"363","ENSG00000175445","cluster1"
"364","ENSG00000144476","cluster1"
"365","ENSG00000143365","cluster1"
"366","ENSG00000139679","cluster1"
"367","ENSG00000174059","cluster1"
"368","ENSG00000145632","cluster1"
"369","ENSG00000124508","cluster1"
"370","ENSG00000092529","cluster1"
"371","ENSG00000142961","cluster1"
"372","ENSG00000131669","cluster1"
"373","ENSG00000140749","cluster1"
"374","ENSG00000185947","cluster1"
"375","ENSG00000072422","cluster1"
"376","ENSG00000145431","cluster1"
"377","ENSG00000104361","cluster1"
"378","ENSG00000233237","cluster1"
"379","ENSG00000115295","cluster1"
"380","ENSG00000162745","cluster1"
"381","ENSG00000069431","cluster1"
"382","ENSG00000064989","cluster1"
"383","ENSG00000008311","cluster1"
"384","ENSG00000046889","cluster1"
"385","ENSG00000134202","cluster1"
"386","ENSG00000151617","cluster1"
"387","ENSG00000185532","cluster1"
"388","ENSG00000172572","cluster1"
"389","ENSG00000079482","cluster1"
"390","ENSG00000171766","cluster1"
"391","ENSG00000147100","cluster1"
"392","ENSG00000154736","cluster1"
"393","ENSG00000117525","cluster1"
"394","ENSG00000153291","cluster1"
"395","ENSG00000163393","cluster1"
"396","ENSG00000165895","cluster1"
"397","ENSG00000123094","cluster1"
"398","ENSG00000136161","cluster1"
"399","ENSG00000122707","cluster1"
"400","ENSG00000213366","cluster1"
"401","ENSG00000144642","cluster1"
"402","ENSG00000256043","cluster1"
"403","ENSG00000164039","cluster1"
"404","ENSG00000255248","cluster1"
"405","ENSG00000118432","cluster1"
"406","ENSG00000165194","cluster1"
"407","ENSG00000135750","cluster1"
"408","ENSG00000115041","cluster1"
"409","ENSG00000147234","cluster1"
"410","ENSG00000119630","cluster1"
"411","ENSG00000102362","cluster1"
"412","ENSG00000196358","cluster1"
"413","ENSG00000086570","cluster1"
"414","ENSG00000143858","cluster1"
"415","ENSG00000154678","cluster1"
"416","ENSG00000148935","cluster1"
"417","ENSG00000005249","cluster1"
"418","ENSG00000088756","cluster1"
"419","ENSG00000151967","cluster1"
"420","ENSG00000144792","cluster1"
"421","ENSG00000240225","cluster1"
"422","ENSG00000156345","cluster1"
"423","ENSG00000229689","cluster1"
"424","ENSG00000227953","cluster1"
"425","ENSG00000212719","cluster1"
"426","ENSG00000139971","cluster1"
"427","ENSG00000133874","cluster1"
"428","ENSG00000196263","cluster1"
"429","ENSG00000215105","cluster1"
"430","ENSG00000155970","cluster1"
"431","ENSG00000100302","cluster1"
"432","ENSG00000165730","cluster1"
"433","ENSG00000206432","cluster1"
"434","ENSG00000231160","cluster1"
"435","ENSG00000170049","cluster1"
"436","ENSG00000105717","cluster1"
"437","ENSG00000162373","cluster1"
"438","ENSG00000284308","cluster1"
"439","ENSG00000228274","cluster1"
"440","ENSG00000286681","cluster1"
"441","ENSG00000284052","cluster1"
"442","ENSG00000233757","cluster1"
"443","ENSG00000152439","cluster1"
"444","ENSG00000132010","cluster1"
"445","ENSG00000257591","cluster1"
"446","ENSG00000149243","cluster1"
"447","ENSG00000205572","cluster1"
"448","ENSG00000172058","cluster1"
"449","ENSG00000267855","cluster1"
"450","ENSG00000166452","cluster1"
"451","ENSG00000125388","cluster1"
"452","ENSG00000249042","cluster1"
"453","ENSG00000152348","cluster1"
"454","ENSG00000226259","cluster1"
"455","ENSG00000188613","cluster1"
"456","ENSG00000261126","cluster1"
"457","ENSG00000267270","cluster1"
"458","ENSG00000231527","cluster1"
"459","ENSG00000269743","cluster1"
"460","ENSG00000158427","cluster1"
"461","ENSG00000269226","cluster1"
"462","ENSG00000231728","cluster1"
"463","ENSG00000092850","cluster1"
"464","ENSG00000004838","cluster1"
"465","ENSG00000172771","cluster1"
"466","ENSG00000185070","cluster1"
"467","ENSG00000241399","cluster1"
"468","ENSG00000226380","cluster1"
"469","ENSG00000115380","cluster1"
"470","ENSG00000005108","cluster1"
"471","ENSG00000198947","cluster1"
"472","ENSG00000113361","cluster1"
"473","ENSG00000118473","cluster1"
"474","ENSG00000184156","cluster1"
"475","ENSG00000156535","cluster1"
"476","ENSG00000000971","cluster1"
"477","ENSG00000196954","cluster1"
"478","ENSG00000075223","cluster1"
"479","ENSG00000260314","cluster1"
"480","ENSG00000117226","cluster1"
"481","ENSG00000197142","cluster1"
"482","ENSG00000166923","cluster1"
"483","ENSG00000047457","cluster1"
"484","ENSG00000102287","cluster1"
"485","ENSG00000097096","cluster1"
"486","ENSG00000003989","cluster1"
"487","ENSG00000106025","cluster1"
"488","ENSG00000138744","cluster1"
"489","ENSG00000185404","cluster1"
"490","ENSG00000274265","cluster1"
"491","ENSG00000181031","cluster1"
"492","ENSG00000236008","cluster1"
"493","ENSG00000236790","cluster1"
"494","ENSG00000228340","cluster1"
"495","ENSG00000124440","cluster1"
"496","ENSG00000114529","cluster1"
"497","ENSG00000236699","cluster1"
"498","ENSG00000110002","cluster1"
"499","ENSG00000181019","cluster1"
"500","ENSG00000176153","cluster1"
"501","ENSG00000117472","cluster1"
"502","ENSG00000175318","cluster1"
"503","ENSG00000185133","cluster1"
"504","ENSG00000165072","cluster1"
"505","ENSG00000164695","cluster1"
"506","ENSG00000176771","cluster1"
"507","ENSG00000123700","cluster1"
"508","ENSG00000143036","cluster1"
"509","ENSG00000224081","cluster1"
"510","ENSG00000153012","cluster1"
"511","ENSG00000198795","cluster1"
"512","ENSG00000024422","cluster1"
"513","ENSG00000080573","cluster1"
"514","ENSG00000154734","cluster1"
"515","ENSG00000106333","cluster1"
"516","ENSG00000158859","cluster1"
"517","ENSG00000128591","cluster1"
"518","ENSG00000183580","cluster1"
"519","ENSG00000138795","cluster1"
"520","ENSG00000169071","cluster1"
"521","ENSG00000221866","cluster1"
"522","ENSG00000117122","cluster1"
"523","ENSG00000090539","cluster1"
"524","ENSG00000171451","cluster1"
"525","ENSG00000169851","cluster1"
"526","ENSG00000007384","cluster1"
"527","ENSG00000178038","cluster1"
"528","ENSG00000167107","cluster1"
"529","ENSG00000157978","cluster1"
"530","ENSG00000142910","cluster1"
"531","ENSG00000130529","cluster1"
"532","ENSG00000272668","cluster1"
"533","ENSG00000203499","cluster1"
"534","ENSG00000174514","cluster1"
"535","ENSG00000226137","cluster1"
"536","ENSG00000065485","cluster1"
"537","ENSG00000235865","cluster1"
"538","ENSG00000067113","cluster1"
"539","ENSG00000005238","cluster1"
"540","ENSG00000157510","cluster1"
"541","ENSG00000113555","cluster1"
"542","ENSG00000142920","cluster1"
"543","ENSG00000169129","cluster1"
"544","ENSG00000157570","cluster1"
"545","ENSG00000149218","cluster1"
"546","ENSG00000250644","cluster1"
"547","ENSG00000110328","cluster1"
"548","ENSG00000138131","cluster1"
"549","ENSG00000119943","cluster1"
"550","ENSG00000262580","cluster1"
"551","ENSG00000124313","cluster1"
"552","ENSG00000185052","cluster1"
"553","ENSG00000171812","cluster1"
"554","ENSG00000176720","cluster1"
"555","ENSG00000050555","cluster1"
"556","ENSG00000172985","cluster1"
"557","ENSG00000259330","cluster1"
"558","ENSG00000169105","cluster1"
"559","ENSG00000171729","cluster1"
"560","ENSG00000236830","cluster1"
"561","ENSG00000153162","cluster1"
"562","ENSG00000287263","cluster1"
"563","ENSG00000177721","cluster1"
"564","ENSG00000172780","cluster1"
"565","ENSG00000095713","cluster1"
"566","ENSG00000262074","cluster1"
"567","ENSG00000264940","cluster1"
"568","ENSG00000265185","cluster1"
"569","ENSG00000151892","cluster1"
"570","ENSG00000150594","cluster1"
"571","ENSG00000273018","cluster1"
"572","ENSG00000134755","cluster1"
"573","ENSG00000136997","cluster1"
"574","ENSG00000073792","cluster1"
"575","ENSG00000144366","cluster1"
"576","ENSG00000198626","cluster1"
"577","ENSG00000196549","cluster1"
"578","ENSG00000182795","cluster1"
"579","ENSG00000183742","cluster1"
"580","ENSG00000103534","cluster1"
"581","ENSG00000066405","cluster1"
"582","ENSG00000204385","cluster1"
"583","ENSG00000127954","cluster1"
"584","ENSG00000127249","cluster1"
"585","ENSG00000165140","cluster1"
"586","ENSG00000135063","cluster1"
"587","ENSG00000171885","cluster1"
"588","ENSG00000153246","cluster1"
"589","ENSG00000265107","cluster1"
"590","ENSG00000157214","cluster1"
"591","ENSG00000165272","cluster1"
"592","ENSG00000184292","cluster1"
"593","ENSG00000171476","cluster1"
"594","ENSG00000176907","cluster1"
"595","ENSG00000136546","cluster1"
"596","ENSG00000094963","cluster1"
"597","ENSG00000196189","cluster1"
"598","ENSG00000078098","cluster1"
"599","ENSG00000104415","cluster1"
"600","ENSG00000124491","cluster1"
"601","ENSG00000155659","cluster1"
"602","ENSG00000174125","cluster1"
"603","ENSG00000104043","cluster1"
"604","ENSG00000105967","cluster1"
"605","ENSG00000133574","cluster1"
"606","ENSG00000151623","cluster1"
"607","ENSG00000065833","cluster1"
"608","ENSG00000120217","cluster1"
"609","ENSG00000204261","cluster1"
"610","ENSG00000072858","cluster1"
