"","Metabolites","pvalue","FDR","FC","log2FC","lipid_class"
"118","PC(36:1)",0.459374127198516,0.636511950691986,0.954341111013923,-0.0674230726729304,"PC"
"119","PC(18:0e_18:1)",0.720339270840593,0.815532034442801,0.950706062010997,-0.0729287353240229,"PC"
"120","PC(36:2)",0.528189991258675,0.695369392161651,1.00649080320157,0.00933398970972181,"PC"
"121","PC(36:3)",0.220938074766709,0.409091790051906,1.17977267563295,0.238508900831673,"PC"
"122","PC(36:3e)",0.0954582842373597,0.269916527843569,1.15379831141992,0.206391057133648,"PC"
"123","PC(36:4e)",0.205888384216398,0.390032780660766,1.13152047453469,0.178262689989174,"PC"
"124","PC(36:5)",0.00118483424108783,0.0377830474658009,1.44997826657725,0.536031276146272,"PC"
"125","PC(36:5e)",0.149231765644989,0.34539932854929,0.846840231547004,-0.239838284594049,"PC"
"126","PC(14:1e_22:5)",0.0540531971716772,0.209255950805668,0.839207291629689,-0.252900881757345,"PC"
"127","PC(36:7)",0.694983474377,0.804275230428222,1.01604892205727,0.0229698685571326,"PC"
"128","PC(38:1)",0.73729314414027,0.822529061224249,0.957235031593891,-0.0630548992416507,"PC"
"129","PC(20:1e_18:1)",0.832579618548189,0.886643230142227,1.01386996792962,0.0198726339462669,"PC"
"130","PC(38:3)",0.111323681081983,0.295815911686675,1.11851833372137,0.161588903917928,"PC"
"131","PC(18:0_20:3)",0.324443710575113,0.529064459858281,1.07375941873231,0.102670786356796,"PC"
"132","PC(16:0e_22:4)",0.138025925753288,0.327394691950444,0.832489920069316,-0.264495290996616,"PC"
"133","PC(18:0e_20:4)",0.373514477981178,0.567194991402954,1.12338819048414,0.167856541908881,"PC"
"134","PC(18:1e_20:4)",0.193927397419947,0.379912375832934,1.09649230112581,0.132895682356595,"PC"
"135","PC(38:6e)",0.195098724223987,0.380907033008736,0.851601736341974,-0.231749203564275,"PC"
"136","PC(16:1e_22:6)",0.183604536465922,0.37601507281921,0.796696170741084,-0.32789845415487,"PC"
"137","PC(38:7e)",0.130930719442953,0.319805246639383,0.774516994771159,-0.368631199315934,"PC"
"138","PC(38:8e)",0.0507382892635848,0.20774524663827,0.79680670273786,-0.327698311479863,"PC"
"139","PC(40:1e)",0.630693115971397,0.757359515831761,0.933059669685715,-0.099958749708489,"PC"
"140","PC(40:4)",0.0745524734701496,0.233842184545715,0.805090857358563,-0.312776489220409,"PC"
"141","PC(40:5)",0.0106563050666915,0.10027408374231,0.695967761438046,-0.522907615667764,"PC"
"142","PC(18:1e_22:4)",0.00882836315110408,0.0904907222988169,0.536046638421478,-0.899569567912803,"PC"
"143","PC(40:5e)",0.0598236579767392,0.211010629436818,0.746343212912902,-0.422088874996775,"PC"
"144","PC(40:6)",0.00387810518377608,0.0689323707373282,1.43806424657739,0.524128130678539,"PC"
"145","PC(40:6e)",0.122458151669807,0.305612952428127,0.837167403913228,-0.256411955209933,"PC"
"146","PC(20:2e_20:4)",0.725448623727628,0.816485313764036,0.941060537763109,-0.0876405613901043,"PC"
"147","PC(40:7)",0.0826569170976762,0.249439942192336,0.821456251519704,-0.283744351600294,"PC"
"148","PC(40:7e)",0.679930034008848,0.796489468410365,0.911448521525602,-0.133766919519281,"PC"
"149","PC(20:4_20:4)",0.587734143020885,0.739262254257561,1.03935031702116,0.0556820021208309,"PC"
"150","PC(40:9)",0.867315609928189,0.910126435281134,0.994836769731913,-0.00746826351917233,"PC"
"151","PC(42:11)",0.532658929877263,0.696460650910135,1.06376194264182,0.0891753288498087,"PC"
"152","PC(42:4)",0.0414568204641062,0.188858848780928,0.791551232151788,-0.337245364892153,"PC"
"153","PC(22:1_20:4)",0.0276235161075081,0.158558982457097,0.765626319537444,-0.385287669434523,"PC"
"154","PC(42:5e)",0.270691090355772,0.459827052775059,1.1132016589802,0.154714963800774,"PC"
"155","PC(42:6e)",0.758947906499416,0.832956210957294,1.24693374673062,0.318384812559364,"PC"
"156","PC(22:4_20:4)",0.122458151669807,0.305612952428127,1.15425842791383,0.206966266383465,"PC"
"157","PC(42:8)",0.138030514724752,0.327394691950444,1.16773225063557,0.223709516544953,"PC"
"158","PC(20:2e_22:6)",0.204557941859121,0.390032780660766,1.56418694371027,0.645412946562363,"PC"
"159","PC(22:5_20:4)",0.0954544243290799,0.269916527843569,0.796850404563542,-0.327619187298237,"PC"
"160","PC(42:9)",0.0844824095882689,0.249963418060136,0.81671084523595,-0.292102709274203,"PC"
"161","PC(22:4_22:6)",0.0650986273096952,0.219803600445677,0.812978046641898,-0.298711700063677,"PC"
"162","PC(44:4e)",0.0968213150460643,0.27109968212898,0.880835086167016,-0.183056158193298,"PC"
"163","PC(22:4_22:4)",0.027384336352178,0.158558982457097,1.28180701619382,0.358179071833598,"PC"
"164","PC(44:8)",0.0723600457724041,0.228212452051428,1.21367272597894,0.279379442795096,"PC"
"165","PC(32:1_18:1)",0.813976618936902,0.8716839165481,0.813803059183045,-0.297248391202314,"PC"
"166","PC(30:1_20:4)",0.203296305869991,0.390032780660766,1.17795259112082,0.236281476408404,"PC"
"167","PC(32:1_20:4)",0.186987293245597,0.376624824999098,1.06757997191515,0.0943441455028575,"PC"
"168","PE(22:5e)",0.185496945270071,0.37623762044177,0.649854635029393,-0.621811054863402,"PE"
"169","PE(24:5e)",0.104761429408804,0.287900235147236,0.550379724945456,-0.86150077030413,"PE"
"170","PE(18:1_14:0)",0.261968640250665,0.457051670224564,1.0840265156704,0.11640004595224,"PE"
"171","PE(16:2e_16:1)",0.257414501965098,0.453239031067381,1.55947647334725,0.641061788017434,"PE"
"172","PE(12:0p_20:4)",0.0641090201651643,0.219039152230978,1.26517381662405,0.339335604014482,"PE"
"173","PE(12:1e_20:4)",0.0410852437694467,0.188663439389299,1.31454760616368,0.394566389907729,"PE"
"174","PE(18:0_16:0)",0.771958615704857,0.840805019762027,0.878621696200536,-0.186685969899607,"PE"
"175","PE(18:1e_16:0)",0.228751927924347,0.416836846439921,0.823454614710829,-0.280238957912044,"PE"
"176","PE(16:0p_18:1)",0.366240725097206,0.56359832762948,0.923386657552013,-0.11499320852847,"PE"
"177","PE(16:1e_18:2)",0.00133470928230476,0.0383061564021466,1.31964749816378,0.400152610972513,"PE"
"178","PE(14:0p_20:4)",0.242208557646691,0.43042635321734,0.909040084721901,-0.137584182476278,"PE"
"179","PE(18:0e_18:1)",0.463522640050959,0.636511950691986,1.05855600210932,0.0820975960608341,"PE"
"180","PE(18:0p_18:1)",0.883438489722581,0.920315232487771,0.968488374511591,-0.0461933636996585,"PE"
"181","PE(18:1e_18:1)",0.559868144168585,0.7189358271874,1.01165281341813,0.0167142600927837,"PE"
"182","PE(18:1p_18:1)",0.555286846584733,0.716257640313791,1.07786904137842,0.108181904592327,"PE"
"183","PE(18:2e_18:1)",0.57837330250994,0.736112884219323,1.07358518007665,0.102436661619541,"PE"
"184","PE(18:1e_18:2)",0.0101455926897617,0.0970595033987199,1.31413394559106,0.394112332579061,"PE"
"185","PE(18:2_18:2)",6.05366305137067e-06,0.00231021835521522,1.49304471345455,0.57825737171036,"PE"
"186","PE(16:1e_20:4)",0.751174933882775,0.82918156163214,1.04198195725564,0.0593302964233525,"PE"
"187","PE(16:0p_20:5)",0.00946771578440856,0.0921096416991612,1.56821712286251,0.649125317355867,"PE"
"188","PE(14:0_22:6)",0.189283462601259,0.379890585780149,1.36226214349963,0.446004351467648,"PE"
"189","PE(36:6e)",0.0557772830544726,0.209255950805668,0.79015303414984,-0.339795998271591,"PE"
"190","PE(14:1e_22:6)",0.220938074766709,0.409091790051906,1.19004560235545,0.251016858433647,"PE"
"191","PE(18:0_20:1)",0.18248457673841,0.37543421880949,0.852190824074056,-0.230751577440843,"PE"
"192","PE(20:0p_18:1)",0.213304119711543,0.39884109497526,0.737756494408432,-0.438783379250955,"PE"
"193","PE(20:1_18:1)",0.679930034008848,0.796489468410365,0.952917536025843,-0.0695767238939845,"PE"
"194","PE(16:0_22:4)",0.740849346085256,0.822529061224249,1.02312739742184,0.0329857972683197,"PE"
"195","PE(18:1p_20:3)",0.00806656585917885,0.0873624302484652,0.871377258572343,-0.198630632968948,"PE"
"196","PE(18:0p_20:4)",0.359050554898839,0.557013563545766,1.05464056301462,0.0767513910534454,"PE"
"197","PE(18:1e_20:4)",0.267813466854132,0.459827052775059,1.05760460766259,0.0808003673567793,"PE"
"198","PE(18:1p_20:4)",0.0348129807512352,0.170791888471872,1.14598567332943,0.196589008190994,"PE"
"199","PE(16:0p_22:5)",0.00759196262296998,0.0871557309116954,0.741750151865544,-0.43099477780515,"PE"
"200","PE(16:1e_22:5)",0.00874248259370352,0.0904907222988169,0.750067736970238,-0.414907206774438,"PE"
"201","PE(18:2p_20:4)",0.630690130575321,0.757359515831761,1.11717631606675,0.159856894184108,"PE"
"202","PE(16:0p_22:6)",0.0557772830544726,0.209255950805668,1.1137050376163,0.155367188589062,"PE"
"203","PE(18:1_22:0)",0.438946413032392,0.625199109381124,0.906946533872469,-0.140910591091263,"PE"
"204","PE(18:1e_22:1)",0.843236019420409,0.89137656564883,1.00680543155392,0.00978490474101843,"PE"
"205","PE(18:0_22:3)",0.033941837179783,0.169414039488656,0.69823303151323,-0.518219486388114,"PE"
"206","PE(40:4)",0.597163334796133,0.74193020383762,0.949554305327621,-0.0746775839422973,"PE"
"207","PE(20:0_20:4)",0.180257349442995,0.373529669964907,0.846911198837586,-0.239717388273123,"PE"
"208","PE(20:0p_20:4)",0.395890062267425,0.591773165993495,1.03509912471016,0.0497689318600033,"PE"
"209","PE(20:1e_20:4)",0.33458999341376,0.533485156165274,1.06860608717025,0.0957301404141852,"PE"
"210","PE(40:5e)",0.327803314364962,0.531522888264091,0.870792289618855,-0.199599461566442,"PE"
"211","PE(20:1p_20:4)",0.0129340380583021,0.108640651040787,0.711084625387316,-0.491906831299338,"PE"
"212","PE(18:1p_22:5)",0.00100101919219712,0.0377830474658009,0.627347221948298,-0.67266393299349,"PE"
"213","PE(18:0p_22:6)",0.0283537468130444,0.161139115551361,1.13611826788205,0.184113024636402,"PE"
"214","PE(18:1_22:6)",0.430923760859474,0.621483011892809,1.04871794300177,0.0686267113285361,"PE"
"215","PE(18:1p_22:6)",0.259079520874056,0.453389161529597,1.10454710305135,0.143454943265031,"PE"
"216","PE(40:8)",0.058449120987485,0.209686221542602,1.20598722267346,0.270214622094308,"PE"
"217","PE(18:2e_22:6)",0.253367691331156,0.447486322535642,1.12586926671381,0.17103931479504,"PE"
"218","PE(20:0_22:4)",0.00203097087555001,0.0506859688072045,0.779444879483616,-0.359481092371462,"PE"
"219","PE(22:1_20:4)",0.0136966258688926,0.109192545121449,0.783085241511043,-0.352758736525893,"PE"
"220","PE(20:1e_22:5)",0.964645759939476,0.971415203868876,0.970922891529184,-0.0425713702271497,"PE"
"221","PE(42:6e)",0.730570227066932,0.819037715500818,0.958047037822712,-0.0618316043041733,"PE"
"222","PE(20:1e_22:6)",0.147318178860614,0.342350747635598,1.14302748124962,0.192860089979284,"PE"
"223","PE(20:1p_22:6)",0.270769240135836,0.459827052775059,1.01971357740661,0.0281639772130172,"PE"
"224","PE(22:4_22:6)",0.00368465680952349,0.0689323707373282,0.617125182651972,-0.696364927923128,"PE"
"225","PE(22:6_22:6)",0.463509620242979,0.636511950691986,0.922699738586926,-0.11606684693698,"PE"
"226","PE(24:0_20:4)",0.915822893174141,0.940397747194914,0.87199305564502,-0.197611449135602,"PE"
"227","PG(16:0_14:0)",0.0712673129235345,0.228212452051428,1.26312150400443,0.336993423601584,"PG"
"228","PG(16:0_20:4)",0.00431977479463946,0.0703692244118142,1.19370194771535,0.255442658854704,"PG"
"229","PG(18:1_22:6)",0.000727793656320604,0.0329411989552636,1.7262127673815,0.787610297383626,"PG"
"230","PI(16:0_18:1)",0.970082092135448,0.973473987562495,0.958454835901934,-0.0612176437508088,"PI"
"231","PI(18:0_18:2)",0.017158202947239,0.115868335196649,1.2391431604216,0.309342874241268,"PI"
"232","PI(16:0_22:4)",0.0271420287324372,0.158558982457097,0.864869032931346,-0.209446412826729,"PI"
"233","PI(18:0e_20:4)",0.861953217799416,0.906155946917335,0.95285811897291,-0.0696666827382111,"PI"
"234","PI(18:1e_20:4)",0.580696745248592,0.737154464174092,1.05810283478036,0.0814798467506763,"PI"
"235","PI(38:5e)",0.837899912950154,0.889010258841753,1.00296741995449,0.00427474270632477,"PI"
"236","PI(16:0e_22:6)",0.525961501945232,0.694027361187501,0.997520861581808,-0.00358108153643617,"PI"
"237","PI(18:0_22:3)",0.113638721162391,0.295843172641151,0.77547240312645,-0.366852654156025,"PI"
"238","PI(20:0_20:4)",0.0438984698434025,0.192349020535214,0.711664057198984,-0.490731720814014,"PI"
"239","PI(20:4_20:4)",0.625853966391203,0.754707466591935,1.00805825323344,0.0115790110825489,"PI"
"240","PS(18:1_18:1)",0.0670813572862067,0.222570514926489,1.13022445469212,0.176609310264294,"PS"
"241","PS(18:2_20:4)",0.23139975624783,0.420327405336247,1.09533006705542,0.131365677451827,"PS"
"242","PS(38:7e)",0.510507272140079,0.679886715100709,1.03819335112976,0.0540751534638052,"PS"
"243","PS(18:1_22:0)",0.171537716312838,0.363330808721657,0.70918767402172,-0.495760633075849,"PS"
"244","PS(18:2_22:6)",0.159085301768377,0.35702476013835,1.11090203218833,0.151731594487586,"PS"
"245","PS(40:9e)",0.55072393936554,0.71357909976483,0.99818464292422,-0.00262138674771851,"PS"
"246","PS(20:4_22:6)",0.0723600457724041,0.228212452051428,1.14996898535703,0.20159495223488,"PS"
"247","PS(42:7e)",0.145423407847251,0.340706269813559,0.89887394526962,-0.153809283135832,"PS"
"248","PS(20:3_22:5)",0.878058489245384,0.918042937753826,1.00686630234432,0.00987212649220783,"PS"
"249","PS(42:9e)",0.0566563596727799,0.209686221542602,1.11531170829488,0.157446972176164,"PS"
"250","PS(22:4_22:6)",0.307981800434111,0.510929345228843,1.15054308517595,0.202315010164192,"PS"
"251","PS(22:6_22:6)",0.442988373342498,0.627842194128187,0.902317892874857,-0.148292300346112,"PS"
"252","SM(d30:1)",0.161112571028426,0.35702476013835,1.02501223790642,0.0356411345712151,"SM"
"253","SM(d18:1_16:1)",0.114420181753198,0.295843172641151,1.125553490667,0.170634620884708,"SM"
"254","SM(d34:4)",0.0134381293099231,0.108640651040787,1.27676995983059,0.35249861297516,"SM"
"255","SM(d18:0_18:1)",0.155086386387167,0.356078343144935,1.14258520289873,0.192301751468205,"SM"
"256","SM(d36:1)",0.0507382892635848,0.20774524663827,1.19294314741476,0.254525289556855,"SM"
"257","SM(d18:2_18:2)",0.601903587692633,0.742994966313057,0.938864906712471,-0.0910105114888988,"SM"
"258","SM(d38:1)",0.150154083974608,0.346138330126204,1.12414743476307,0.168831261050503,"SM"
"259","SM(d40:1)",0.932070293270176,0.950282062920538,1.11976628144108,0.163197643182705,"SM"
"260","SM(d18:1_22:1)",0.395890062267425,0.591773165993495,0.979001929621746,-0.0306163914904855,"SM"
"261","SM(d42:3)",0.0159245622925075,0.112975625683028,1.29884306972747,0.377227130398788,"SM"
"262","SM(d44:3)",0.0557373353404891,0.209255950805668,1.44392909385925,0.529999898423646,"SM"
